,experience,education
дуў Led development of algorithmic, real-time content analytics system using SparkStreaming, NodeJS and AngularJS, allowing editors to make informed programming decisions
дуў Built machine learning model using NLP features to predict content perform... See more
Show 1 more role
Computer Vision Researcher
Company Name
Slyce
Dates Employed
Apr 2014 дус Oct 2014
Employment Duration
7 mos
дуў Engineered visual features and implemented computer vision models for retail image recognition
дуў Applied NLP techniques to increase recognition accuracy
дуў Collaborated with engineers to productionalize solutions
Institutional Analyst
Company Name
University of Waterloo
Dates Employed
Jan 2014 дус Mar 2014
Employment Duration
3 mos
дуў Developed data dictionaries to measure university KPIs for government reporting
дуў Built predictive models in R to predict student retention and graduation rates
дуў Designed BI dashboards using Tableau for university stakeholders
Show 5 more experiences","Education
UCL
Degree Name
Master of Science
Field Of Study
Computer Science - Computational Statistics/Machine Learning
Grade
Distinction
Dates attended or expected graduation
2012 дус 2013
Activities and Societies: Student Academic Representative
Master thesis: Discovering Attributes for Food Description and Recognition
University of Waterloo
Degree Name
Bachelors of Mathematics
Field Of Study
Honours Statistics, Computer Science Minor
Grade
Distinction - Dean's Honours List
Dates attended or expected graduation
2007 дус 2012
Activities and Societies: Math Teaching Assistant, Imprint Student Newspaper, International Olympiad in Informatics"

jill-cates-44bb9147,"Experience
Data Scientist
Company Name
BioSymetrics Inc.
Dates Employed
Oct 2018 дус Present
Employment Duration
11 mos
Location
Toronto, Canada Area
Applying machine learning techniques to biomedical data.
Data Science Consultant
Company Name
QxMD
Dates Employed
Apr 2018 дус Aug 2018
Employment Duration
5 mos
Location
Vancouver, Canada Area
Built an implicit feedback recommender system for medical research papers. Developed a pipeline that fetches and pre-processes data, tunes various models, and generates personalized recommendations for ~500,000 users. Currently deployed on QxMD's Read application.
Software Developer
Company Name
TELUS Digital
Dates Employed
Nov 2015 дус Aug 2017
Employment Duration
1 yr 10 mos
Location
Toronto, Canada Area
Helped build self-serve account management products for more than 2 million customers per month. Shipped front-end features and APIs in React and Node that reduced call centre activity. Worked with a range of technologies including ReactJS/Redux, NodeJS, AngularJS, Docker, OpenShift, Ansible, AWS.
Researcher
Company Name
St. Michael's Hospital
Dates Employed
Sep 2011 дус Jan 2015
Employment Duration
3 yrs 5 mos
Location
Toronto, ON
Developed, implemented and validated a tool to evaluate surgical performance in the operating room. Applied statistical techniques to analyze the pattern of events that lead up to preventable errors during surgery. Results from this project have been incorporated in the medical resident curriculum for the Department of Gener... See more
Research Assistant
Company Name
Western University
Dates Employed
Feb 2010 дус May 2011
Employment Duration
1 yr 4 mos
Location
London, Canada Area
Analyzed EEG and EMG signals to investigate coupling between primary motor cortex and muscular activity during resting tremor in patients with Parkinson's disease using MATLAB software.
Show 1 more experience","Education
The University of British Columbia
Degree Name
Master's degree
Field Of Study
Data Science
A data science program with a focus on advanced statistics and machine learning practices.
Western University
Degree Name
Bachelor's degree
Field Of Study
Medical Physics
Activities and Societies: Varsity tennis
An interdisciplinary program that applies physics concepts and engineering practices in a medical setting. Topics include hemodynamics, medical imaging, signal processing."

josh-harris-86188983,"Experience
Data Scientist
Company Name
Koho
Dates Employed
Dec 2017 дус Present
Employment Duration
1 yr 9 mos
Location
Toronto, Canada Area
Currently working on predicting future user spending levels given early app activity.
Trained merchant classification model, currently achieving 98% accuracy on live data.
Implemented production-grade serving infrastructure, performing multiple inferences per second.
Designing the methodology for maintaining model accuracy in production.
Developed and deployed Photobillpay, a tool for reading bills.
Applied NLP and clustering to understand users' savings goals.
Led the deployment of front-end app instrumentation infrastructure.... See more
Associate Instructor - Data Analytics
Company Name
BrainStation
Dates Employed
Jan 2018 дус Jun 2018
Employment Duration
6 mos
Location
Toronto, Canada Area
Company Name
VarageSale
Total Duration
1 yr 5 mos
Title
Data Scientist
Dates Employed
Apr 2017 дус Nov 2017
Employment Duration
8 mos
Planning and groundwork for intelligent product features (image captioning, product recommendations)
Modelling phases of marketplace health
Strategic reporting for investors... See more
Title
Lead Data Analyst
Dates Employed
Jul 2016 дус Apr 2017
Employment Duration
10 mos
Location
Toronto, Canada Area
Support engineering, product, and marketing teams in designing experiments, and reviewing A/B test results
Provide analysis and insights to senior leadership team, informing communication with the board and investors... See more
Company Name
OUTDOORsmart!д‹ў Inc.
Total Duration
2 yrs 2 mos
Title
Data Analyst
Dates Employed
Aug 2015 дус Jun 2016
Employment Duration
11 mos
Location
Peterborough, Ontario
Defined measurement strategy
Develop company-wide access to data-driven insights
Led QA for PHP ecommerce and e-learning application, focusing on data integrity
Google Analytics and JavaScript event tracking to analyze ecommerce perfor... See more
Title
Customer Experience Lead
Dates Employed
May 2014 дус Aug 2015
Employment Duration
1 yr 4 mos
Designed call and sales tracking tools in Excel and Google Docs
Created analytical reports based on inbound contacts
Developed predictive scheduling formulas
Handled customer inquiries via phone, email, and chat, in English and French... See more
Tour Manager
Company Name
D&D Brewery, Lodge, and Restaurant
Dates Employed
Apr 2012 дус Oct 2012
Employment Duration
7 mos
Designed, sold, and executed eco-tours
Created and implemented D&D Adventures- now featured in the Lonely Planet travel guide book
Operated the hotel front desk; booked guests, answered telephone inquiries, ... See more","Education
Trent University
Degree Name
Mathematics
Field Of Study
Mathematics
Dates attended or expected graduation
2015 дус 2015
Studied Calculus and Statistics for professional development."

katekimdata,"Experience
Data Scientist
Company Name
Private Company
Dates Employed
2018 дус Present
Employment Duration
1 yr
- Led development and implementation of SVM, PCA, NLP and NN etc.

Company Name
OPTrust
Total Duration
1 yr 10 mos
Title
Data Scientist
Dates Employed
Aug 2017 дус May 2018
Employment Duration
10 mos
Location
Toronto, Canada Area
Title
Technology Specialist
Dates Employed
Aug 2016 дус Aug 2017
Employment Duration
1 yr 1 mo
Location
Toronto, Canada Area","Education
University of Toronto
Degree Name
Bachelor's degree
Field Of Study
Applied Statistics Specialist, Mathematics
Activities and Societies: Mathematical and Computational Science Society (MCSS), Computer Science Student Union (CSSU)
Dalhousie University
Field Of Study
Psychology & Neuroscience
Activities and Societies: The Dalhousie Association of Psychology Students (DAPS), Undergraduate Neuroscience Society (UNS)

Transferred to U of T"

ken-ding-428a7224,"Experience
Company Name
Capital One
Total Duration
3 yrs 11 mos
Title
Sr.Data Scientist, Partnership Credit Policy Management
Dates Employed
Oct 2016 дус Present
Employment Duration
2 yrs 11 mos
Title
Sr.Data Analyst - SAS programmer for Customer Management Model
Dates Employed
Oct 2015 дус Oct 2016
Employment Duration
1 yr 1 mo
Location
Toronto, Canada Area
Data Analyst дус Summer Intern
Company Name
Denova Group Dominion Lending Centres National LTD
Dates Employed
Jun 2014 дус Aug 2014
Employment Duration
3 mos
дуў Acquired sound knowledge of mortgage lending and products
дуў Performed deep data analysis the demographic data of Toronto, Oakville, and Calgary; identified major competitors to support business expansion and recruitment plans
дуў Engaged in the underwriting process, analyzing credit history and income v... See more
Consultant
Company Name
Kapronasia
Dates Employed
Jun 2011 дус Jul 2013
Employment Duration
2 yrs 2 mos
Location
Shanghai
дуў Worked on different consulting projects in banking IT sector, including:
-Credit card,
-Mobile and Online payments
-Risk management
Sales Performance Analyst
Company Name
Tesco
Dates Employed
Jun 2009 дус Jun 2011
Employment Duration
2 yrs 1 mo
Location
Shanghai City, China
дуў Utilized Excel, VBA and SAS/SQL to manipulate data and design new analytical tools to monitor and analyze sales performance
дуў Built sales foresting models by using statistical techniques and conveyed key findings in understandable terms with senior managers... See more
Part-Time Associate
Company Name
SXL Consulting Group
Dates Employed
Mar 2009 дус Oct 2010
Employment Duration
1 yr 8 mos
дуў Worked on industry research and mapped market landscape for a global medical device companyду»s entry to China.
дуў Participated in face-to-face interviews and cold calls to identify market segments and competitive situation... See more
Show 2 more experiences","Education
University of Toronto - Rotman School of Management
Field Of Study
MBA
Dates attended or expected graduation
2013 дус 2015
University of Toronto"

lubna-khader-19194150,"Experience
Lead Data Scientist
Company Name
Pelmorex Corp
Dates Employed
Jun 2016 дус Present
Employment Duration
3 yrs 3 mos
Location
Toronto, Canada Area
- Lead a team of up to 5 members
- End to end management of data projects, from requirement gathering, risk analysis, design, architecture, prototyping, testing, documentation to successful deployment and maintenance
- Introduced the use of new technologies to support the data infrastructure
- Manage the execution of the data projects following Agile methodologies
- Lead collaboration initiatives with academia, sponsored and trained multiple masters students and supported them throughout their research into some of our diffi... See more
Company Name
Addictive Mobility
Total Duration
2 yrs 2 mos
Title
Data Scientist
Dates Employed
Jan 2015 дус Jun 2016
Employment Duration
1 yr 6 mos
Location
Toronto, Canada Area

- Wrote pieces of Addictive Mobilityду»s real time bidding decision module, along with their unit tests.
- Performed many refactors on the bidding decision module, and itду»s supporti... See more
Title
Data Scientist Intern
Dates Employed
May 2014 дус Dec 2014
Employment Duration
8 mos
Location
Toronto, Canada Area
- Experimented with many supervised and unsupervised ML algorithms to solve two business problems related to user profiling.
- Evolved the ML models into mulitprocessed incremental training system that went into production.... See more
Associate Software Engineer
Company Name
Bayt.com
Dates Employed
Jun 2012 дус Jun 2013
Employment Duration
1 yr 1 mo
Location
Amman","Education
University of Toronto
Degree Name
Master's in Applied Computing
Field Of Study
Computer Science
Dates attended or expected graduation
2013 дус 2015
Princess Sumaya University for Technology
Degree Name
Bachelor's degree
Field Of Study
Computer Science
Grade
93.7%
Dates attended or expected graduation
2009 дус 2013
AL-Omareyah school
Dates attended or expected graduation
2008 дус 2009"

matthew-tenney-61846a25,"Experience
Data Science and Visualization Team Supervisor
Company Name
City of Toronto
Dates Employed
Nov 2017 дус Present
Employment Duration
1 yr 10 mos
Location
Toronto, Canada Area
Innovating and building a data-driven team to help Toronto usher in a ""Smart City"" future powered by people; using tech and data to better serve the public.

дуў Supervise, motivate and train assigned staff, ensuring effective teamwork, high standards of work quality and organizational performance, continuous learning and encourage innovation in others
дуў Lead the development of best practices, techniques, and processes in data analytics function in collaboration with Divisional partners... See more
Company Name
York University
Total Duration
1 yr 11 mos
Title
Adjunct Faculty Instructor
Dates Employed
Jan 2019 дус Present
Employment Duration
8 mos
Location
Toronto, Canada Area
CSDA1050 Advanced Analytics Capstone Course
Students aim to exercise the skills acquired in the Data Science Program through a case study with real-world data sets. This hands-on course requires analyzing a real-life scenario, including data collection, preparation, integrating, modelling and a... See more
Title
Adjunct Faculty Instructor
Dates Employed
Oct 2017 дус Present
Employment Duration
1 yr 11 mos
Location
Toronto, Canada Area
CSDA - 1000 - Introduction to Big Data and Data Analytics

The big data deluge has given birth to various new areas of data analysis and opened up new realms of opportunity for using data in decision-making practices. This c... See more
Show 1 more role
Sr. Data Scientist
Company Name
Terra Incognita
Dates Employed
Mar 2017 дус Present
Employment Duration
2 yrs 6 mos
Location
Toronto, ON
As primary data scientist, my efforts were focused on finding new ways to understand cities,
leading to better tools and resources for city designers, decision-makers, and residents. Using tools and methods from diverse disciplines with government agencies, ... See more
Company Name
McGill University
Total Duration
5 yrs 10 mos
Title
Doctoral Research Assistant
Dates Employed
Jun 2013 дус Mar 2019
Employment Duration
5 yrs 10 mos
Location
Montreal, Canada Area
I am currently investigating techniques to assuage data uncertainty in user-contributed content with spatial and temporal dimensions through data mining and visualization. Developing algorithims to link and infer geographic and social ties from these datasets for decision support. Working closely with over 30 metropolitan governments... See more
Title
Spatial Mobility Analyst
Dates Employed
Jan 2016 дус May 2016
Employment Duration
5 mos
The project studies the economic consequences of trade and mobility restrictions in the Occupied
Palestinian Territories (OPT) on firm performance and political violence within the OPT. My role... See more
Graduate Research Fellow
Company Name
Esri Canada
Dates Employed
May 2013 дус May 2018
Employment Duration
5 yrs 1 mo
Geocollective is a proof-of-concept project composed of largely open-source software, forming back-end tools required for the collection, processing, and basic analysis of different kinds of data collected from the web. Using Esri technologies I have developed new tools for investigating and assuaging aspects of data uncertainty in user ... See more
Show 5 more experiences","Education
McGill University
Degree Name
Doctor of Philosophy (Ph.D.)
Field Of Study
Geography
Dates attended or expected graduation
2013 дус 2018
University of Arkansas at Fayetteville
Degree Name
Master of Arts (M.A.)
Field Of Study
Geographic Information Science and Cartography
Dates attended or expected graduation
2011 дус 2013
Clarion University of Pennsylvania
Degree Name
BS
Field Of Study
Communication Sociology / Geography
Dates attended or expected graduation
2004 дус 2008"

maxine-lingmeng-li-83017b1b,"Experience
Data Scientist
Company Name
Equifax
Dates Employed
Apr 2019 дус Present
Employment Duration
5 mos
Location
Toronto, Ontario, Canada
Data Scientist
Company Name
Longo's
Dates Employed
Oct 2015 дус Apr 2019
Employment Duration
3 yrs 7 mos
Location
Vaughan
дуў Work on large customer dataset and build statistical and machine learning models to understand customer behaviours and identify unique opportunities to increase revenue and profitability. Topics include but not limited to Clustering/Customer Segmentation, Basket Analysis, Experimental Design, Time Series Forecasting, Text Mining a... See more
Company Name
Teradata Aster
Total Duration
3 yrs 4 mos
Title
Data Scientist
Dates Employed
Jul 2014 дус Oct 2015
Employment Duration
1 yr 4 mos
Client Engagements (Pre-sale/Post-sale)
Oil and Gas - USA (2015)
дуў Gathered requirements and produced specifications to parse and extract valuable data from source PDFs.... See more
Title
Professional Service Consultant
Dates Employed
Jul 2012 дус Jul 2014
Employment Duration
2 yrs 1 mo
Client Engagements:
Retail (2014)
дуў Evaluated the clientду»s database architecture and analyzed production tables for a disaster recovery strategy.... See more
Trading Quantitative Analyst
Company Name
TD Securities
Dates Employed
Sep 2010 дус Dec 2010
Employment Duration
4 mos
дуў Performed quantitative analysis of TD Waterhouse data across multiple vectors to highlight and identify characteristics of retail client trading patterns to improve retail execution.
дуў Performed in-depth quantitative analysis of order rates, sizes, and buy/sell ... See more
Data Analyst (Co-op) at Investment Systems
Company Name
Manulife Financial
Dates Employed
Sep 2009 дус May 2010
Employment Duration
9 mos
дуў Performed data analysis on security metadata
дуў Analyzed investment cash flow by creating a graphical cash flow interpretation using MATLAB
дуў Performed pricing analysis on vendor management and created analytical r... See more
Show 2 more experiences","Education
University of Waterloo
Degree Name
BMath
Field Of Study
Computational Math, Statistics
Dates attended or expected graduation
2006 дус 2011
Activities and Societies: Quantitative Trading Club
Co-operative Education University of Waterloo
Degree Name
for Bachelor; Honours; School Diploma
Field Of Study
Mathematics; Computational Mathematics and Statistics
Dates attended or expected graduation
2006 дус 2009"

michael-ciniello-5a92b834,"Experience
Data Scientist
Company Name
Rangle.io
Dates Employed
Mar 2019 дус Present
Employment Duration
6 mos
Location
Toronto, Canada Area
Instructor and Course Content Developer, Data Science Fundementals Program
Company Name
University of Waterloo
Dates Employed
Nov 2018 дус Present
Employment Duration
10 mos
Company Name
KPMG Canada
Total Duration
3 yrs 4 mos
Title
Data Scientist
Dates Employed
Feb 2018 дус Feb 2019
Employment Duration
1 yr 1 mo
Location
Toronto, Canada Area
Title
Senior Consultant, Advisory
Dates Employed
Nov 2015 дус Feb 2018
Employment Duration
2 yrs 4 mos
Location
Toronto, Canada Area
Global MBA Intern
Company Name
Tata Consultancy Services
Dates Employed
May 2014 дус Aug 2014
Employment Duration
4 mos
Location
Kolkata, India
Junior Fellowship in International Development
Company Name
Engineers Without Borders Canada
Dates Employed
Nov 2012 дус Mar 2014
Employment Duration
1 yr 5 mos
Show 1 more experience","Education
University of Toronto
Degree Name
Certificates in Data Science & Artificial Intelligence
Dates attended or expected graduation
2017 дус 2018
University of Toronto - Munk School of Global Affairs and Public Policy
Degree Name
Master of Global Affairs (MGA)
Field Of Study
International Capital Markets
Dates attended or expected graduation
2012 дус 2015
University of Toronto - Rotman School of Management
Degree Name
Master of Business Administration (MBA), Finance
Dates attended or expected graduation
2012 дус 2015
Show 1 more education"

min-liang-a96534120,"Experience
Data Scientist
Company Name
RBC
Dates Employed
Aug 2018 дус Present
Employment Duration
1 yr 1 mo
Location
Toronto, Canada Area
Currently working in the centralized data science team inside DNA (Data and Analytics). Collaborating with various lines of business with the aim of offering data-driven insights, optimizing operation process and providing higher assurance.
MITACS Research And Development Intern
Company Name
Alcohol Countermeasure Systems Corp
Dates Employed
Feb 2017 дус Jul 2017
Employment Duration
6 mos
Location
Toronto, Canada Area
дуў Developed non-intrusive techniques for assessing the state of vigilance (alert, drowsy) of drivers based on eye-movements and blinking data. Implemented in MATLAB and Python.
дуў Designed new feature selection frameworks: combining wrapper methods a... See more
Volunteer Research Assistant
Company Name
Harvard John A. Paulson School of Engineering and Applied Sciences
Dates Employed
Dec 2014 дус May 2015
Employment Duration
6 mos
Location
Boston
дуў Analyzed fMRI brain scans from patients with Alzheimerду»s disease using probabilistic models including latent space model (LSM)
дуў Proposed an extended dynamic LSM to track changes occurring in the brain of patients with Alzheimerду»s disease... See more","Education
McGill University
Degree Name
Master of Engineering (Thesis)
Field Of Study
Electrical and Computer Engineering
Grade
3.83/4.0
Dates attended or expected graduation
2015 дус 2017
дуў Investigated sparse principal component analysis (PCA) algorithms and tree-based nonlinear regression models.
дуў Designed inference algorithm to train sparse multivariate factor analysis models and Bayesian additive
regression and classification tree model (BART) as an integral unit.
дуў Applied the combined model to various datasets (S&P 500, Montre’Ѓal BIXI) to improve prediction performance.
Deep Learning Summer School at University of Montreal
Field Of Study
Deep learning
Dates attended or expected graduation
2016 дус 2016
Tianjin University
Degree Name
Bachelorду»s Degree
Field Of Study
Electrical and Electronics Engineering
Grade
89/100
Dates attended or expected graduation
2011 дус 2015
Activities and Societies: chorus"

mina-mirshahi-08b95137,"Experience
Data Scientist
Company Name
Manulife
Dates Employed
Jul 2019 дус Present
Employment Duration
2 mos
Location
Toronto, Ontario, Canada
Data Scientist
Company Name
National Bank Financial
Dates Employed
Jun 2018 дус Jun 2019
Employment Duration
1 yr 1 mo
Location
Montreal, Canada Area

дуў Collaborated with the team of data engineers and a data scientist in maintaining the quality of Teranet- National Bank (TNB) house price index (HPI).
дус Created a pipeline for analyzing the land registry data using AWS and Cloud... See more
Data Scientist (rotation program)
Company Name
National Bank of Canada
Dates Employed
Jun 2017 дус May 2018
Employment Duration
1 yr
Location
Montreal, Canada Area
дуў Worked with three business lines: Marketing, Corporate Treasury and Financial
Markets.
дуў Developed a statistical model to predict the income for bankду»s clients in order
to better target them with marketing activities using an ensemble of supervis... See more
Researcher
Company Name
GERAD - Group for Research in Decision Analysis
Dates Employed
Jan 2014 дус Aug 2017
Employment Duration
3 yrs 8 mos
Location
Montreal, Canada Area
Data Scientist
Company Name
InnoVie Health
Dates Employed
Jan 2017 дус Apr 2017
Employment Duration
4 mos
Location
Montreal, Canada Area
Innovie Health is an AI powered solution aims to drive the most accurate and efficient risk stratified care management strategy for our healthcare system, leading to higher value and quality of patient care.
... See more
Show 3 more experiences","Education
нЉcole Polytechnique de Montrн©al
Degree Name
Doctor of Philosophy - PhD
Field Of Study
Mathematics and Statistics
Grade
4/4
Dates attended or expected graduation
2013 дус 2017
As a Ph.D student in Statistics at Polytechnique Montreal, my research was about modeling and Bayesian clustering of closed shapes specifically the biological cells. The cell shape analysis helped us to identify the possible deformations or any abnormalities in the structure of the cells. This, in turn, provides a tool for distinguishing between the normal and cancerous cells.



Ferdowsi University of Mashhad
Degree Name
Master of Science (M.S.)
Field Of Study
Mathematical Statistics
Grade
3.75/4
Dates attended or expected graduation
2010 дус 2012
Ferdowsi University of Mashhad
Degree Name
B.Sc.
Field Of Study
Statistics
Grade
3.69/4
Dates attended or expected graduation
2006 дус 2010"

mitchellposluns,"Experience
Data Scientist
Company Name
ASSURANCE
Dates Employed
Dec 2018 дус Present
Employment Duration
9 mos
Location
Toronto, Canada Area
Revenue Operations Analyst
Company Name
CrowdRiff
Dates Employed
Sep 2018 дус Dec 2018
Employment Duration
4 mos
Location
Toronto, Canada Area
I helped align people, processes, and technology for optimal business performance. While I collaborated across all departments, I primarily supported Customer Success.
Customer Success Manager & Operations
Company Name
Hubdoc
Dates Employed
Dec 2017 дус Aug 2018
Employment Duration
9 mos
Location
Toronto, Canada Area
I ensured Hubdoc customers received value at every step of their Hubdoc journey. I also automated workflows, built reporting pipelines, and analyzed our Customer Success performance.
Data Analyst
Company Name
FreshBooks
Dates Employed
May 2017 дус Nov 2017
Employment Duration
7 mos
Location
Toronto, Canada Area
I provided stakeholders the data and insights needed to make informed business decisions.
Account Manager
Company Name
Hubdoc
Dates Employed
Jan 2016 дус Dec 2016
Employment Duration
12 mos
Location
Toronto, Canada Area
I showed accountants and bookkeepers how to streamline their practices with cloud-based document management solutions.
Show 2 more experiences","Education
Queen's University
Degree Name
Masterду»s Degree
Field Of Study
Management Analytics
Dates attended or expected graduation
2016 дус 2017
Gaining the skills and knowledge needed to develop, direct, and deliver projects in big data analytics.

Courses:
дуў Creating High-Performance Teams
дуў Introduction to Management
дуў Mathematical Foundations
дуў Acquisition and Analysis of Data
дуў Marketing Analytics
дуў Multivariate Statistical Analysis
дуў Analytical Decision Making
дуў Project Leadership
дуў Data Privacy
дуў Big Data
дуў Operations and Supply Chain Analytics
дуў Analytics for Financial Markets
дуў Pricing Analytics
дуў Management of Analytics
дуў Text Analytics & Sentiment Analytics
Queen's University
Degree Name
Bachelorду»s Degree
Field Of Study
Geography
Dates attended or expected graduation
2011 дус 2015
Activities and Societies: Alma Mater Pub Services (TAPS) , Queen's Model Parliament , The Earth Centre , Geography Department Student Council , Water Initiative for the Future (WatIF)"

omar-nada-100052125,"Experience
Data Scientist (DNA)
Company Name
RBC
Dates Employed
Mar 2019 дус Present
Employment Duration
6 mos
Location
Toronto, Canada Area
Machine Learning Engineer-Recommender System
Company Name
The September
Dates Employed
May 2018 дус May 2019
Employment Duration
1 yr 1 mo
Location
Toronto, Canada Area
д_ИCreating a recommender system hosted on the companyду»s website that recommends item to users based on their purchasing history and trends as well as on items similarity
д_ИAnalyzed previous purchases, customer with common interest, time of purchase to develop market basket analysis on Python using ScikitLearn, Tensorflow, pan... See more
Teaching Assistant
Company Name
Ryerson University
Dates Employed
Sep 2017 дус Apr 2019
Employment Duration
1 yr 8 mos
Location
Toronto, Canada Area
д_ИAssisted students to solve the lab for advanced data analytics courses in R by explaining the concepts of data analysis of data pre-processing and finding models to predict newly observed data
д_ИGraduate assistant for Data Mining course, explaining the concepts of mis... See more
Software Testing Engineer
Company Name
Sierra Wireless
Dates Employed
Sep 2016 дус May 2017
Employment Duration
9 mos
Location
Richmond
дуўManually tested EM, MC and WP chips on Windows and Linux terminals to ensure proper functionality of the devices
дуўContributed to the automation of several manual tests using Python and following Sierra Wireless coding standards... See more","Education
Ryerson University
Degree Name
Masters degree
Field Of Study
Computer
Grade
4.33
Dates attended or expected graduation
2017 дус 2019
Activities and Societies: - Graduate Assistant (GA/TA) for multiple data mining courses and software engineering courses - Involved in marking exams and assignments in different courses
- Integerating Deep NLP methods into Recommender systems that can boost the accuracy and help to personalize the recommended list of items

- Exploring the various methods used in recommender systems ranging from Collaborative based filtering and Knowledge based methods

- Implementing various data analytics and machine learning models to be able to use large amount of data by different users
Faculty of Applied Sciences at Simon Fraser University
Degree Name
Bachelorду»s Degree
Field Of Study
Computer Science, Bioinformatics
Dates attended or expected graduation
2010 дус 2016
Graduated with a joint major in Computer Science and Molecular Biology with machine learning projects experience"

peiyang-he-18a48b97,"Experience
Data Scientist, Demand Forecasting
Company Name
Amazon
Dates Employed
Jul 2017 дус Present
Employment Duration
2 yrs 2 mos
Location
Toronto, Ontario, Canada
дуў Developed predictive models using Python to drive forecasting accuracy for Retail new products (i.e. not yet released video games), Retail promotional products (i.e. Deal of the Day, Best Deals and Goldbox Lightning Deals) and Whole Foods Market.
дуў Participated in the creation of detailed plans and accurate estimates towards development, testing, and implementation of several Forecasting Hand Off The Wheel projects
дуў Worked closely with Retail In-stock Managers and Finance to understand downstream impacts and provided business feedbacks to guide Product Management and ... See more
Sr. Quantitative Analyst, Model Validation
Company Name
TD
Dates Employed
May 2016 дус Jun 2017
Employment Duration
1 yr 2 mos
Location
Toronto, Canada Area
дуў Implemented, evaluated, and benchmark predictive models across TD Bank (i.e. CCAR risk modelling, Revenue forecasting), TD Asset Management (Equity risk models) and TD Insurance (Loss forecasting)
дуў Developed and implemented a variety of statistical tests to identify/recomm... See more
Pricing Analyst, Research & Development
Company Name
RSA Canada
Dates Employed
Jul 2014 дус Apr 2016
Employment Duration
1 yr 10 mos
Location
Toronto, Canada Area
дуў Developed the first generation of predictive models (GLM) for pricing automobile and property insurance for RSA Canada using TW Emblem
дуў Built and automated reporting tools in programs such as SAS, and TW Radar","Education
University of Toronto
Degree Name
Master of Science - MS
Field Of Study
Statistics
Dates attended or expected graduation
2012 дус 2014
University of Toronto
Degree Name
Bachelor of Science - BS
Field Of Study
Mathematics and Statistics
Dates attended or expected graduation
2008 дус 2012"

reenashaw,"Experience
Lead Data Scientist
Company Name
Agile Blockchain Corporation
Dates Employed
Aug 2018 дус Present
Employment Duration
1 yr 1 mo
Location
Toronto, Canada Area
Developer
Company Name
Projects in Data Science and Business Analytics
Dates Employed
Apr 2016 дус Present
Employment Duration
3 yrs 5 mos
Location
Canada
Enjoy working on all types of Data Science and Business Analytics projects.
1) Financial Analytics: 'Credit-Risk Modelling in R'
-I applied Logistic regression and Decision trees to create the best financial model to predict whether a customer would default on a loan or not.... See more
Lead AI Data Scientist
Company Name
Lemuria Interactive, Inc.
Dates Employed
May 2018 дус Jul 2018
Employment Duration
3 mos
Location
Toronto, Canada Area
Data Science author
Company Name
KDnuggets
Dates Employed
Sep 2017 дус May 2018
Employment Duration
9 mos
-Multiple Award-winning Author and Journalist .
-Topics covered: Machine Learning and Data Science.
Research Assistant- 'Using Deep Learning to predict the mortality of cancer patients'
Company Name
Queen's University
Dates Employed
Sep 2015 дус Jul 2017
Employment Duration
1 yr 11 mos
Location
'Using Deep Learning to predict mortality of cancer patients'
-> I research on 'Deep Learning in Biomedical Datasets' using the R and H2O technologies.
->My thesis is co-supervised by Dr.David Skillicorn (from the 'Smart Information Management Laboratory') and Dr.James.R. Cordy (of the 'Software Technolog... See more","Education
Queen's University
Degree Name
Masterду»s Degree
Field Of Study
Computer Science
Dates attended or expected graduation
2015 дус 2017
Activities and Societies: Alma Mater Society
St. Francis Institute Of Technology
Degree Name
Bachelorду»s Degree
Field Of Study
Computer Engineering
Grade
Distinction
Activities and Societies: Literary and Publications Committee"

rishabhkumarsingh,"Experience
Associate/Programmer Analyst
Company Name
Cognizant
Dates Employed
Sep 2014 дус Jan 2019
Employment Duration
4 yrs 5 mos
Location
Pune
Project дус Cross sell and Predictive Analytics for US based Financial Services

Data Wrangling
-Using Python libraries (Pandas & NumPy) gathered data from client API sources/servers, assessed its quality, and cleaned the data by applying optimizing techniques
-Pre-processed the data by scaling and identifying unwanted outliers
... See more
Enginnering Intern
Company Name
Calsoft
Dates Employed
Sep 2013 дус Apr 2014
Employment Duration
8 mos
Location
Pune Area, India
Developed a kernel level program to solve a real-life everyday problem of data recovery technique in case of data corruption","Education
Maharashtra Institute of Technology
Degree Name
Bachelor of Engineering - BE
Field Of Study
Information Technology"

sean-singh-a8b545165,"Experience
Company Name
RBC
Total Duration
2 yrs 7 mos
Title
Senior Data Scientist (Data & Analytics)
Dates Employed
Jul 2019 дус Present
Employment Duration
2 mos
Location
Toronto, Canada Area
Title
Data Scientist (Data & Analytics)
Dates Employed
Feb 2017 дус Jul 2019
Employment Duration
2 yrs 6 mos
Location
Toronto, Canada Area
Teaching Assistant (Department of Computer Science)
Company Name
Carleton University
Dates Employed
Aug 2015 дус Dec 2016
Employment Duration
1 yr 5 mos
Location
Ottawa, Canada Area
Data Analyst (Enterprise Information Management)
Company Name
RBC
Dates Employed
May 2016 дус Aug 2016
Employment Duration
4 mos
Location
Toronto, Canada Area
Reporting & Research Analyst (Contact Center Technology)
Company Name
RBC
Dates Employed
May 2015 дус Aug 2015
Employment Duration
4 mos
Location
Toronto, Canada Area
Service Officer
Company Name
TD
Dates Employed
Oct 2012 дус Jul 2013
Employment Duration
10 mos
Location
Toronto, Canada Area","Education
University of Toronto
Dates attended or expected graduation
2017 дус 2018
